source,split,crop_key,fsa_norm_base,fsa_raw_base,wlev_norm_mean_base,cer_mean_base,avg_ms_base,non_empty_rate_base,selected_180_share_base,fsa_norm_yolo,fsa_raw_yolo,wlev_norm_mean_yolo,cer_mean_yolo,avg_ms_yolo,non_empty_rate_yolo,selected_180_share_yolo,delta_fsa_norm,delta_fsa_raw,delta_wlev_norm_mean,delta_cer_mean,delta_avg_ms,delta_non_empty_rate,delta_selected_180_share,degrade
combo,all,wm_bbox,0.8593247588424437,0.0032154340836012,0.0318465854007171,0.4693519369162456,41.491947347266496,0.9983922829581994,0.0683279742765273,0.8593247588424437,0.0032154340836012,0.0318465854007171,0.4693519369162456,40.9815113343734,0.9983922829581994,0.0683279742765273,0.0,0.0,0.0,0.0,-0.5104360128930949,0.0,0.0,False
combo,all,wm_polygon,0.729903536977492,0.0072347266881028,0.0585104139480017,0.4890723089879038,43.44765747588403,0.997588424437299,0.0715434083601286,0.7612540192926045,0.0056270096463022,0.053351259433236,0.4872301332108406,42.46063046627841,0.9967845659163987,0.0691318327974276,0.031350482315112504,-0.0016077170418006001,-0.005159154514765701,-0.0018421757770632485,-0.9870270096056188,-0.000803858520900258,-0.002411575562700996,True
combo,test,wm_bbox,0.8770053475935828,0.0,0.0225476829885961,0.4594092182327476,41.35128796794323,0.997326203208556,0.0614973262032085,0.8770053475935828,0.0,0.0225476829885961,0.4594092182327476,41.01399465236516,0.997326203208556,0.0614973262032085,0.0,0.0,0.0,0.0,-0.33729331557806574,0.0,0.0,False
combo,test,wm_polygon,0.7513368983957219,0.0106951871657754,0.0498167949505758,0.4755347593582888,39.75541631023754,0.997326203208556,0.0695187165775401,0.7967914438502673,0.0080213903743315,0.0430549849241122,0.4648395721925134,41.85730454537892,0.9919786096256684,0.0668449197860962,0.045454545454545414,-0.002673796791443901,-0.006761810026463602,-0.010695187165775444,2.101888235141381,-0.005347593582887611,-0.0026737967914438887,True
combo,train,wm_bbox,0.8517241379310345,0.0045977011494252,0.0358440445985714,0.4736261631089216,39.00756781604496,0.9988505747126436,0.0712643678160919,0.8517241379310345,0.0045977011494252,0.0358440445985714,0.4736261631089216,41.00066390813157,0.9988505747126436,0.0712643678160919,0.0,0.0,0.0,0.0,1.9930960920866099,0.0,0.0,False
combo,train,wm_polygon,0.7206896551724138,0.0057471264367816,0.0622476708503434,0.494891899288451,41.648624252846425,0.9977011494252872,0.0724137931034482,0.7459770114942529,0.0045977011494252,0.0577774739923306,0.496855500821018,40.42910528733046,0.9988505747126436,0.0701149425287356,0.025287356321839094,-0.0011494252873563999,-0.004470196858012795,0.001963601532566972,-1.2195189655159666,0.0011494252873563982,-0.002298850574712602,True
pilot,all,wm_bbox,0.8593247588424437,0.003215434083601286,0.031846585400717116,0.4693519369162456,43.47283794212908,0.9983922829581994,0.06832797427652733,0.8593247588424437,0.003215434083601286,0.031846585400717116,0.4693519369162456,40.84004959808975,0.9983922829581994,0.06832797427652733,0.0,0.0,0.0,0.0,-2.6327883440393336,0.0,0.0,False
pilot,all,wm_polygon,0.729903536977492,0.007234726688102894,0.05851041394800177,0.4890723089879038,43.65326921219345,0.997588424437299,0.07154340836012862,0.7612540192926045,0.005627009646302251,0.05335125943323603,0.4872301332108405,40.48414943722389,0.9967845659163987,0.06913183279742766,0.031350482315112504,-0.0016077170418006426,-0.005159154514765743,-0.001842175777063304,-3.169119774969559,-0.000803858520900258,-0.0024115755627009683,True
pilot,test,wm_bbox,0.8770053475935828,0.0,0.022547682988596177,0.4594092182327476,43.85506871659116,0.9973262032085561,0.06149732620320856,0.8770053475935828,0.0,0.022547682988596177,0.4594092182327476,40.99859438514721,0.9973262032085561,0.06149732620320856,0.0,0.0,0.0,0.0,-2.8564743314439554,0.0,0.0,False
pilot,test,wm_polygon,0.7513368983957219,0.0106951871657754,0.04981679495057587,0.47553475935828876,45.26786203207746,0.9973262032085561,0.06951871657754011,0.7967914438502673,0.008021390374331552,0.04305498492411226,0.4648395721925134,41.29846764711774,0.9919786096256684,0.06684491978609626,0.045454545454545414,-0.002673796791443849,-0.006761810026463609,-0.010695187165775388,-3.9693943849597204,-0.005347593582887722,-0.002673796791443847,True
pilot,train,wm_bbox,0.8517241379310345,0.004597701149425287,0.0358440445985714,0.47362616310892175,42.19668563219711,0.9988505747126437,0.07126436781609195,0.8517241379310345,0.004597701149425287,0.0358440445985714,0.47362616310892175,41.47379632184771,0.9988505747126437,0.07126436781609195,0.0,0.0,0.0,0.0,-0.7228893103494016,0.0,0.0,False
pilot,train,wm_polygon,0.7206896551724138,0.005747126436781609,0.06224767085034347,0.494891899288451,40.865482068944274,0.9977011494252873,0.07241379310344828,0.7459770114942529,0.004597701149425287,0.0577774739923306,0.49685550082101804,43.52169965517867,0.9988505747126437,0.07011494252873564,0.025287356321839094,-0.0011494252873563218,-0.004470196858012865,0.0019636015325670275,2.6562175862343977,0.0011494252873563982,-0.0022988505747126436,True
