candidate,split,crop_key,compare_mode,preprocess_mode,wlev_weight_base,samples,fsa_raw,fsa_norm,pda_mean,cer_mean,wlev_norm_mean,avg_ms,median_ms,p95_ms,non_empty_rate,selected_180_share,errors_saved,failure_dir
ultralytics_yolo11m_baseline,all,wm_bbox,normalized,none,2.0,1244,0.003215434083601286,0.8593247588424437,0.06667400347062727,0.4693519369162456,0.031846585400717116,33.32185281354556,32.53634999964561,38.337460001639556,0.9983922829581994,0.06832797427652733,175,C:\Users\alike\WaterMeterCV\results\ocr_pretrained_failures_yolo11m\ultralytics_yolo11m_baseline\none\all\wm_bbox
ultralytics_yolo11m_baseline,all,wm_polygon,normalized,none,2.0,1244,0.007234726688102894,0.729903536977492,0.07496650589496248,0.4890723089879038,0.05851041394800177,33.85265691317829,33.01275000012538,39.75189499942643,0.997588424437299,0.07154340836012862,336,C:\Users\alike\WaterMeterCV\results\ocr_pretrained_failures_yolo11m\ultralytics_yolo11m_baseline\none\all\wm_polygon
ultralytics_yolo11m_baseline,test,wm_bbox,normalized,none,2.0,374,0.0,0.8770053475935828,0.06199707155589509,0.4594092182327476,0.022547682988596177,33.94649973262936,32.84919999896374,38.93477000019628,0.9973262032085561,0.06149732620320856,46,C:\Users\alike\WaterMeterCV\results\ocr_pretrained_failures_yolo11m\ultralytics_yolo11m_baseline\none\test\wm_bbox
ultralytics_yolo11m_baseline,test,wm_polygon,normalized,none,2.0,374,0.0106951871657754,0.7513368983957219,0.0764292080468551,0.4755347593582888,0.04981679495057587,34.03429518718007,33.01475000080245,41.03688999966834,0.9973262032085561,0.06951871657754011,93,C:\Users\alike\WaterMeterCV\results\ocr_pretrained_failures_yolo11m\ultralytics_yolo11m_baseline\none\test\wm_polygon
ultralytics_yolo11m_baseline,train,wm_bbox,normalized,none,2.0,870,0.004597701149425287,0.8517241379310345,0.0686845466155811,0.47362616310892164,0.0358440445985714,33.02066643676692,32.496249999894644,37.90416000028927,0.9988505747126437,0.07126436781609195,129,C:\Users\alike\WaterMeterCV\results\ocr_pretrained_failures_yolo11m\ultralytics_yolo11m_baseline\none\train\wm_bbox
ultralytics_yolo11m_baseline,train,wm_polygon,normalized,none,2.0,870,0.005747126436781609,0.7206896551724138,0.07433771209633279,0.494891899288451,0.06224767085034347,36.36155264360021,34.39224999965518,46.682765002697124,0.9977011494252873,0.07241379310344828,243,C:\Users\alike\WaterMeterCV\results\ocr_pretrained_failures_yolo11m\ultralytics_yolo11m_baseline\none\train\wm_polygon
