model_size,mAP50,mAP50_95,full_string_acc,per_digit_acc,CER,combined_score,inference_ms,run_date
yolo11n,0.6179,0.3351,0.0466,0.1014,0.8495,0.5036,24.8,2026-04-11 00:26
yolo11n,0.6179,0.3351,0.0466,0.1014,0.8495,0.5036,23.7,2026-04-11 00:34
